collection_slug,collection_name_pt_br,collection_name_en,collection_name_es,section_code,section_type,section_name_pt_br,section_name_en,section_name_es,sticker_code,sticker_type,sticker_name_pt_br,sticker_name_en,sticker_name_es,album_order,section_order,player_name,country_iso2,wikidata_id
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 14,PLAYER,Seung-ho Paik,Seung-ho Paik,Seung-ho Paik,63,14,Seung-ho Paik,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 15,PLAYER,Jens Castrop,Jens Castrop,Jens Castrop,64,15,Jens Castrop,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 16,PLAYER,Dongg-yeong Lee,Dongg-yeong Lee,Dongg-yeong Lee,65,16,Dongg-yeong Lee,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 17,PLAYER,Gue-sung Cho,Gue-sung Cho,Gue-sung Cho,66,17,Gue-sung Cho,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 18,PLAYER,Heung-min Son,Heung-min Son,Heung-min Son,67,18,Heung-min Son,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 19,PLAYER,Hee-chan Hwang,Hee-chan Hwang,Hee-chan Hwang,68,19,Hee-chan Hwang,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 20,PLAYER,Hyeon-Gyu Oh,Hyeon-Gyu Oh,Hyeon-Gyu Oh,69,20,Hyeon-Gyu Oh,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 1,BADGE,Emblem,Emblem,Emblem,70,1,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 2,PLAYER,Matej Kovar,Matej Kovar,Matej Kovar,71,2,Matej Kovar,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 3,PLAYER,Jindrich Stanek,Jindrich Stanek,Jindrich Stanek,72,3,Jindrich Stanek,,
